SiteNumber;SiteName;Latitude;Longitude;SiteNumber2
01010070;Big Black River near Depot Mtn, Maine;46.89388889;-69.7516667;USGS01010070
01010500;St. John River at Dickey, Maine;47.11305556;-69.0880556;USGS01010500
01011000;Allagash River near Allagash, Maine;47.0697222;-69.0794444;USGS01011000
01011500;St. Francis River near Connors, New Brunswick;47.20697926;-68.9564281;USGS01011500
01013500;Fish River near Fort Kent, Maine;47.2375;-68.58277778;USGS01013500
01014000;St. John River below Fish R, nr Fort Kent, Maine;47.2833333;-68.58527778;USGS01014000
01015800;Aroostook River near Masardis, Maine;46.52305556;-68.3716667;USGS01015800
01017000;Aroostook River at Washburn, Maine;46.7772222;-68.1572222;USGS01017000
01017060;Hardwood Brook below Glidden Brk nr Caribou, Maine;46.7836111;-67.9891667;USGS01017060
01017290;Little Madawaska River at Caribou, Maine;46.8886111;-67.945;USGS01017290
01017550;Williams Brook at Phair, Maine;46.62805556;-67.9530556;USGS01017550
01017960;Meduxnekeag R above S Br Medux. R nr Houlton, ME;46.105;-67.88138889;USGS01017960
01018000;Meduxnekeag River near Houlton, Maine;46.105;-67.8666667;USGS01018000
01018009;Pearce Brook at Route 1 at Houlton, Maine;46.11527778;-67.84027778;USGS01018009
01018035;Meduxnekeag River at Lowery Rd. nr Houlton, Maine;46.1811111;-67.80388889;USGS01018035
01018500;St. Croix River at Vanceboro, Maine;45.5683333;-67.4283333;USGS01018500
01018900;West Grand Lake at Grand Lake Stream, Maine;45.1811111;-67.7780556;USGS01018900
01019000;Grand Lake Stream at Grand Lake Stream, Maine;45.1725;-67.76888889;USGS01019000
01019300;Lewy Lake at Princeton, Maine;45.2256833;-67.57705278;USGS01019300
01021000;St. Croix River at Baring, Maine;45.1369444;-67.3180556;USGS01021000
01021050;St. Croix River at Milltown, Maine;45.17;-67.2966667;USGS01021050
01021470;Libby Brook near Northfield, Maine;44.8008333;-67.725;USGS01021470
01021480;Old Stream near Wesley, Maine;44.9369444;-67.7361111;USGS01021480
01022294;East Br Bear Brook near Beddington, Maine;44.85909167;-68.10396389;USGS01022294
01022500;Narraguagus River at Cherryfield, Maine;44.60805556;-67.93527778;USGS01022500
01022840;Otter Creek near Bar Harbor, Maine;44.33277778;-68.2066667;USGS01022840
01027200;North Branch Penobscot River nr Pittston Farm, ME;45.93527778;-69.9936111;USGS01027200
01029200;Seboeis River near Shin Pond, Maine;46.14305556;-68.6336111;USGS01029200
01029500;East Branch Penobscot River at Grindstone, Maine;45.73027778;-68.5894444;USGS01029500
01030350;Wytopitlock Stream near Wytopitlock Maine;45.7086111;-68.1580556;USGS01030350
01030500;Mattawamkeag River near Mattawamkeag, Maine;45.5011111;-68.3058333;USGS01030500
01031300;Piscataquis River at Blanchard, Maine;45.2672222;-69.58388889;USGS01031300
01031450;Kingsbury Stream at Abbot Village, Maine;45.1844444;-69.4522222;USGS01031450
01031500;Piscataquis River near Dover-Foxcroft, Maine;45.175;-69.3147222;USGS01031500
01031510;Black Stream near Dover-Foxcroft, Maine;45.15027778;-69.23638889;USGS01031510
01034000;Piscataquis River at Medford, Maine;45.26055556;-68.8686111;USGS01034000
01034500;Penobscot River at West Enfield, Maine;45.2361111;-68.65138889;USGS01034500
01036390;Penobscot River at Eddington, Maine;44.82666667;-68.6966667;USGS01036390
01037000;Kenduskeag Stream near Bangor, Maine;44.8611111;-68.8316667;USGS01037000
01037050;Penobscot River at Bangor, Maine;44.79638889;-68.76777778;USGS01037050
01037380;Ducktrap River near Lincolnville, Maine;44.32916667;-69.0608333;USGS01037380
01038000;Sheepscot River at North Whitefield, Maine;44.22277778;-69.59388889;USGS01038000
01042500;Kennebec River at The Forks, Maine;45.3397222;-69.9619444;USGS01042500
01043500;Dead River near Dead River, Maine;45.22905;-70.20112778;USGS01043500
01044550;Spencer Stream near Grand Falls, Maine;45.3136111;-70.2416667;USGS01044550
01046000;Austin Stream at Bingham, Maine;45.0644444;-69.8805556;USGS01046000
01046500;Kennebec River at Bingham, Maine;45.0519444;-69.8855556;USGS01046500
01047000;Carrabassett River near North Anson, Maine;44.86916667;-69.955;USGS01047000
01047150;Kennebec River near Madison, Maine;44.77888889;-69.8869444;USGS01047150
01047200;Sandy River near Madrid, Maine;44.85777778;-70.48527778;USGS01047200
01048000;Sandy River near Mercer, Maine;44.70805556;-69.9375;USGS01048000
01048220;East Branch Wesserunsett Stream near Athens, Maine;44.9475;-69.6569444;USGS01048220
01049265;Kennebec River at North Sidney, Maine;44.4722222;-69.68388889;USGS01049265
01049320;Kennebec River at Calumet Bridge at Augusta, Maine;44.3186111;-69.7716667;USGS01049320
01049500;Cobbosseecontee Stream at Gardiner, Maine;44.22916667;-69.7780556;USGS01049500
