Latitude;Longitude;Type;StationID;StationName;MLLW;MLW;MSL;MHW;MHHW;NGVD;NAVD
47.2858;-122.5445;Sub;xTide_0001;0.1 mile east of Point Evans, The Narrows, Puget Sound, Washington Current;0.0;-0.88001;-2.19900;-3.51712;-3.78815;-2.02841;-0.97508
58.3333;-134.05;Sub;xTide_0002;0.2 mile off Flat Point, Taku Inlet, Stephens Passage, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
58.4;-134.0167;Sub;xTide_0003;0.2 mile off Taku Point, Taku Inlet, Stephens Passage, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
48.1;-122.6833;Sub;xTide_0004;0.3 mile northeast of, Marrowstone Point, Admiralty Inlet, Washington Current;0.0;-0.82049;-1.60226;-2.44489;-2.68288;-1.43907;-0.35087
34.1812;-77.9658;Sub;xTide_0005;0.4 mile north of (Depth 16ft), Brunswick River, Cape Fear River, North Carolina Current;0.0;-0.04692;-0.74250;-1.37376;-1.45685;-0.44212;-0.73962
34.1812;-77.9658;Sub;xTide_0006;0.4 mile north of (Depth 6ft), Brunswick River, Cape Fear River, North Carolina Current;0.0;-0.04692;-0.74250;-1.37376;-1.45685;-0.44212;-0.73962
48.1;-122.6833;Sub;xTide_0007;0.4 mile northeast of, Marrowstone Point, Admiralty Inlet, Washington Current;0.0;-0.82049;-1.60226;-2.44489;-2.68288;-1.43907;-0.35087
27.697;-82.6325;Sub;xTide_0008;0.5 mile southeast of, Pinellas Point, Tampa Bay, Florida Current;0.0;-0.10590;-0.34290;-0.56500;-0.64480;-0.16508;-0.45189
39.4967;-75.5167;Sub;xTide_0009;0.8 n.mi. above entrance, Alloway Creek, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
39.4317;-75.4467;Sub;xTide_0010;1 n.mi. above entrance, Mad Horse Creek, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
48.1167;-122.7;Sub;xTide_0011;1.1 miles northwest of, Marrowstone Point, Admiralty Inlet, Washington Current;0.0;-0.81589;-1.57073;-2.39833;-2.63217;-1.41827;-0.32957
48.1167;-122.6667;Sub;xTide_0012;1.6 miles northeast of, Marrowstone Point, Admiralty Inlet, Washington Current;0.0;-0.82473;-1.59169;-2.42148;-2.66102;-1.42660;-0.32465
34.2055;-77.9745;Sub;xTide_0013;1.8 miles north of mouth (Depth 6ft), Brunswick River, North Carolina Current;0.0;-0.04700;-0.74350;-1.37210;-1.45270;-0.43210;-0.72830
27.6847;-82.6097;Sub;xTide_0014;1.9 miles SE of, Pinellas Point, Tampa Bay, Florida Current;0.0;-0.10690;-0.34784;-0.57294;-0.65288;-0.16912;-0.45665
31.0583;-81.4933;Sub;xTide_0015;2.5 miles above mouth, Little Satilla River, Georgia;0.0;-0.06608;-1.12460;-2.11420;-2.22350;-0.96197;-1.28010
39.505;-75.4833;Sub;xTide_0016;2.5 n.mi. above entrance, Alloway Creek, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
27.6605;-82.6417;Sub;xTide_0017;2.6 miles south of, Pinellas Point, Tampa Bay, Florida Current;0.0;-0.10394;-0.33862;-0.55692;-0.63660;-0.16672;-0.45543
32.6828;-117.1428;Sub;xTide_0018;28th St. Pier (San Diego), 0.35 nmi. SW (Depth 14ft), San Diego Bay, California Current;0.0;-0.27170;-0.90650;-1.55774;-1.77578;-0.77582;-0.14240
32.6828;-117.1428;Sub;xTide_0019;28th St. Pier (San Diego), 0.35 nmi. SW (Depth 28ft), San Diego Bay, California Current;0.0;-0.27170;-0.90650;-1.55774;-1.77578;-0.77582;-0.14240
32.6747;-117.1495;Sub;xTide_0020;28th St. Pier (San Diego), 0.92 nmi. SW (Depth 7ft), San Diego Bay, California Current;0.0;-0.27219;-0.90911;-1.56195;-1.78005;-0.77936;-0.14495
26.97;-80.1267;Sub;xTide_0021;3 miles above A1A highway bridge, Loxahatchee River, Florida;0.0;-0.04700;-0.34000;-0.63500;-0.68000;-0.25425;-0.71135
27.673;-82.593;Sub;xTide_0022;3 miles southeast of, Pinellas Point, Tampa Bay, Florida Current;0.0;-0.10947;-0.35180;-0.57813;-0.65903;-0.17348;-0.46136
31.8105;-81.1767;Sub;xTide_0023;610 Statute Mile Mark (Depth 6ft), Bear River, St. Catherines Sound, Georgia Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
31.0983;-81.5733;Sub;xTide_0024;8 miles above mouth, Little Satilla River, Georgia;0.0;-999999;-999999;-999999;-999999;-999999;-999999
26.9467;-80.09;Sub;xTide_0025;A1A highway bridge, Loxahatchee River, Florida;0.0;-0.04499;-0.33703;-0.64400;-0.69001;-0.22167;-0.68046
32.6767;-80.0067;Sub;xTide_0026;Abbapoola Creek entrance, Stono River, South Carolina;0.0;-0.06107;-0.90207;-1.66562;-1.77600;-0.70616;-1.00447
39.5117;-75.4933;Sub;xTide_0027;Abbots Meadow, Alloway Creek, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
46.9683;-123.853;Ref;xTide_0028;Aberdeen, Grays Harbor, Washington;0.0;-0.44903;-1.70800;-2.86907;-3.08111;-1.58181;-0.50004
39.385;-74.425;Sub;xTide_0029;Absecon Channel, State Route 87 bridge, New Jersey;0.0;-0.05488;-0.65615;-1.24865;-1.36510;-0.32507;-0.72725
39.4233;-74.5;Sub;xTide_0030;Absecon, Absecon Creek, U.S. Hwy. 30 bridge, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
51.77;-176.435;Sub;xTide_0031;Adak Bight, Adak Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
25.3967;-80.2333;Sub;xTide_0032;Adams Key, south end, Biscayne Bay, Florida;0.0;-0.04895;-0.28203;-0.50118;-0.50237;-0.07733;-0.54702
48.15;-122.7;Sub;xTide_0033;Admiralty Head, 0.5 mile west of, Admiralty Inlet, Washington Current;0.0;-0.84362;-1.55624;-2.33792;-2.58473;-1.40984;-0.30138
48.1583;-122.668;Sub;xTide_0034;Admiralty Head, Admiralty Inlet, Washington;0.0;-0.83693;-1.57437;-2.37655;-2.62206;-1.41522;-0.29194
48.0333;-122.6333;Ref;xTide_0035;Admiralty Inlet (off Bush Point), Washington Current;0.0;-0.82541;-1.70096;-2.60387;-2.85041;-1.51376;-0.42361
52.9117;-169.165;Sub;xTide_0036;Adugak Island, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
47.722;-122.555;Sub;xTide_0037;Agate Passage, north end, Puget Sound, Washington Current;0.0;-0.85929;-2.01736;-3.19106;-3.46020;-1.78024;-0.71288
47.7128;-122.5655;Sub;xTide_0038;Agate Passage, south end, Puget Sound, Washington Current;0.0;-0.86509;-2.03645;-3.22239;-3.49126;-1.80035;-0.73235
59.7733;-149.588;Ref;xTide_0039;Agnes Cove, Aialik Peninsula, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
18.4566;-67.1646;Ref;xTide_0040;Aguadilla, Crashboat Beach, Puerto Rico;0.0;-0.03700;-0.19102;-0.34333;-0.41603;-999999;-0.17600
58.29;-154.27;Ref;xTide_0041;Aguchik Island, Kukak Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
59.9533;-149.715;Ref;xTide_0042;Aialik Bay, north end, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
59.885;-149.718;Ref;xTide_0043;Aialik Sill, Aialik Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
7.2833;-168.75;Sub;xTide_0044;Ailinglapalap Atoll, Marshall Islands;0.0;-999999;-999999;-999999;-999999;-999999;-999999
10.2167;-169.9833;Sub;xTide_0045;Ailuk Atoll, Marshall Islands;0.0;-999999;-999999;-999999;-999999;-999999;-999999
32.6317;-80.4717;Sub;xTide_0046;Airy Hall Plantation, Ashepoo River, South Carolina;0.0;-0.06702;-0.76901;-1.29998;-1.35002;-0.38578;-0.67118
55;-131.4667;Sub;xTide_0047;Ajax Reef, Felice Strait, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
