A,Alpha Time Zone,Military,1
ACDT,Australian Central Daylight Time,Australia,10.5
ACST,Australian Central Standard Time,Australia,9.5
ACT,Acre Time,South America,-5
ACT,Australian Central Time,Australia,9.5
ACWST,Australian Central Western Standard Time,Australia,8.75
ADT,Arabia Daylight Time,Asia,4
ADT,Atlantic Daylight Time,North America,-3
AEDT,Australian Eastern Daylight Time,Australia,11
AEST,Australian Eastern Standard Time,Australia,10
AET,Australian Eastern Time,Australia,10
AFT,Afghanistan Time,Asia,4.5
AKDT,Alaska Daylight Time,North America,-8
AKST,Alaska Standard Time,North America,-9
ALMT,Alma-Ata Time,Asia,6
AMST,Amazon Summer Time,South America,-3
AMST,Armenia Summer Time,Asia,5
AMT,Amazon Time,South America,-4
AMT,Armenia Time,Asia,4
ANAST,Anadyr Summer Time,Asia,12
ANAT,Anadyr Time,Asia,12
AQTT,Aqtobe Time,Asia,5
ART,Argentina Time,Antarctica,-3
AST,Arabia Standard Time,Asia,3
AST,Atlantic Standard Time,North America,-4
AWDT,Australian Western Daylight Time,Australia,9
AWST,Australian Western Standard Time,Australia,8
AZOST,Azores Summer Time,Atlantic,0
AZOT,Azores Time,Atlantic,-1
AZST,Azerbaijan Summer Time,Asia,5
AZT,Azerbaijan Time,Asia,4
AoE,Anywhere on Earth,Pacific,-12
B,Bravo Time Zone,Military,2
BNT,Brunei Darussalam Time,Asia,8
BOT,Bolivia Time,South America,-4
BRST,Brasília Summer Time,South America,-2
BRT,Brasília Time,South America,-3
BST,Bangladesh Standard Time,Asia,6
BST,Bougainville Standard Time,Pacific,11
BST,British Summer Time,Europe,1
BTT,Bhutan Time,Asia,6
C,Charlie Time Zone,Military,3
CAST,Casey Time,Antarctica,8
CAT,Central Africa Time,Africa,2
CCT,Cocos Islands Time,Indian Ocean,6.5
CDT,Central Daylight Time,North America,-5
CDT,Cuba Daylight Time,Caribbean,-4
CEST,Central European Summer Time,Europe,2
CET,Central European Time,Europe,1
CHADT,Chatham Island Daylight Time,Pacific,13.75
CHAST,Chatham Island Standard Time,Pacific,12.75
CHOST,Choibalsan Summer Time,Asia,9
CHOT,Choibalsan Time,Asia,8
CHUT,Chuuk Time,Pacific,10
CIDST,Cayman Islands Daylight Saving Time,Caribbean,-4
CIST,Cayman Islands Standard Time,Caribbean,-5
CKT,Cook Island Time,Pacific,-10
CLST,Chile Summer Time,South America,-3
CLT,Chile Standard Time,South America,-4
COT,Colombia Time,South America,-5
CST,Central Standard Time,North America,-6
CST,China Standard Time,Asia,8
CST,Cuba Standard Time,Caribbean,-5
CVT,Cape Verde Time,Africa,-1
CXT,Christmas Island Time,Australia,7
ChST,Chamorro Standard Time,Pacific,10
D,Delta Time Zone,Military,4
DAVT,Davis Time,Antarctica,7
DDUT,Dumont-d'Urville Time,Antarctica,10
E,Echo Time Zone,Military,5
EASST,Easter Island Summer Time,Pacific,-5
EAST,Easter Island Standard Time,Pacific,-6
EAT,Eastern Africa Time,Africa,3
ECT,Ecuador Time,South America,-5
EDT,Eastern Daylight Time,North America,-4
EEST,Eastern European Summer Time,Europe,3
EET,Eastern European Time,Europe,2
EGST,Eastern Greenland Summer Time,North America,0
EGT,East Greenland Time,North America,-1
EST,Eastern Standard Time,North America,-5
F,Foxtrot Time Zone,Military,6
FET,Further-Eastern European Time,Europe,3
FJST,Fiji Summer Time,Pacific,13
